0,0,0,0,0,0,0,0,0,1
1,0,1,1,1,1,1,0,0,1
1,1,1,2,1,0,1,0,0,1
2,1,1,1,2,1,1,0,0,1
1,1,1,1,3,1,1,0,0,1
3,2,1,2,1,1,1,0,1,1
1,1,1,0,3,1,1,0,0,1
1,1,1,0,3,1,1,0,0,1
2,0,1,1,4,1,1,0,0,1
1,2,1,1,1,1,1,0,2,1
3,2,2,2,3,1,1,0,3,1
1,2,1,1,1,1,0,0,0,1
3,2,2,1,3,1,1,0,3,1
1,2,1,1,3,1,1,0,4,1
1,3,1,1,3,1,1,0,0,1
1,2,1,1,3,1,1,0,0,1
2,2,1,0,3,1,0,0,0,1
0,4,3,3,5,0,0,0,0,1
2,0,1,0,4,0,0,0,0,1
1,2,1,4,1,1,1,0,5,1
1,2,1,2,1,1,0,0,6,1
4,5,1,5,4,0,0,0,0,1
1,2,1,1,1,1,0,0,0,1
1,2,1,1,3,1,0,0,0,1
1,1,2,0,1,1,1,0,0,1
1,2,1,1,1,1,0,0,0,1
2,1,2,1,1,1,1,0,0,1
1,2,2,1,3,1,1,0,0,1
2,3,2,1,3,1,0,0,0,1
2,2,2,1,1,1,1,0,0,1
2,2,1,1,3,1,0,0,2,1
1,2,2,0,3,1,0,0,0,1
2,2,2,1,1,1,0,0,3,1
1,3,2,1,3,1,0,0,5,1
2,2,1,1,1,1,0,0,0,1
3,1,2,1,1,1,0,0,0,1
2,0,1,1,0,1,0,0,0,1
2,2,2,1,1,1,0,0,0,1
0,4,1,5,0,0,2,0,0,1
0,4,1,5,0,0,2,0,0,1
2,2,2,0,3,1,0,0,0,1
1,2,2,0,3,1,0,0,0,1
2,1,2,1,1,1,0,0,0,1
0,0,1,6,0,0,2,0,0,1
2,2,2,0,1,1,0,0,7,1
2,1,2,1,4,1,0,0,0,1
2,1,2,0,1,1,0,0,4,1
5,0,1,6,0,0,2,0,8,1
0,1,1,3,4,0,2,0,0,1
2,1,2,1,4,1,0,0,0,1
6,0,1,5,0,0,3,0,4,1
2,1,2,1,2,1,0,0,2,1
2,1,4,0,1,1,0,0,0,1
2,1,4,1,1,1,0,0,0,1
2,1,4,1,1,1,0,0,8,1
2,3,4,1,6,1,0,0,3,1
7,2,2,0,1,1,1,0,7,1
2,2,2,1,1,1,1,0,0,1
1,1,1,0,1,1,1,0,0,1
1,1,1,0,1,1,1,0,2,1
2,0,1,0,1,0,0,0,0,1
4,0,1,1,0,0,0,1,0,1
0,1,3,3,0,0,2,0,2,1
0,4,1,3,5,0,2,0,0,1
0,1,1,3,4,0,2,0,5,1
0,0,1,0,4,0,2,0,0,1
0,2,1,3,2,0,2,0,4,1
0,2,1,3,2,0,2,0,4,1
0,1,1,3,4,0,2,0,4,1
6,1,1,3,4,0,3,0,0,1
3,5,1,4,4,0,4,0,2,2
2,0,3,1,4,1,1,0,7,2
3,2,1,2,3,1,1,0,0,2
1,1,1,2,1,1,1,0,0,2
3,2,1,2,3,1,1,0,0,2
3,2,1,2,3,1,1,0,0,2
1,1,1,2,2,1,1,0,0,2
1,2,1,2,1,1,1,0,0,2
1,0,2,1,1,0,1,0,2,2
3,2,2,7,1,1,1,0,0,2
3,2,2,7,1,1,1,0,0,2
3,1,2,1,3,1,1,0,0,2
1,1,1,1,1,1,1,0,0,2
3,2,2,2,1,1,1,0,8,2
8,4,5,7,2,2,4,0,0,2
1,1,1,2,1,1,1,0,0,2
3,1,2,2,3,0,1,0,0,2
1,1,2,2,1,1,1,0,8,2
1,2,2,2,1,1,1,0,0,2
1,3,2,4,3,1,1,0,8,2
2,2,1,0,2,1,0,0,3,2
1,2,2,2,3,0,1,0,0,2
3,1,2,2,3,0,1,0,6,2
3,1,2,2,3,0,1,0,0,2
1,2,2,2,3,1,1,0,0,2
2,1,2,1,2,1,0,0,0,2
2,2,1,0,2,1,0,0,4,2
1,3,2,0,6,1,0,0,3,2
1,2,4,4,3,1,0,0,0,2
2,2,5,1,1,1,0,0,0,2
1,2,4,2,3,1,0,0,3,2
1,3,4,2,1,1,0,0,0,2
2,3,4,3,6,0,2,0,6,2
5,0,5,6,7,0,5,0,0,2
6,0,5,0,5,0,3,0,0,2
9,6,6,4,4,1,6,0,9,2
10,7,6,7,8,1,6,2,1,2
11,3,6,0,8,0,7,0,3,2
0,4,6,0,1,0,8,0,8,2
2,0,6,6,9,0,8,0,0,2
5,6,6,3,3,0,9,0,0,2
5,7,6,3,3,0,9,0,0,2
12,2,6,6,4,0,10,0,0,2
2,1,1,1,2,1,1,0,2,2
2,2,3,0,2,1,1,0,0,2
2,1,3,1,2,1,1,0,0,2
2,1,3,1,2,1,1,0,8,2
1,0,1,4,4,1,1,0,0,2
1,1,1,2,2,1,1,0,1,2
1,1,1,2,2,1,1,0,0,2
2,1,1,1,2,1,1,0,0,2
1,2,1,2,1,1,1,0,6,2
1,1,1,2,1,1,1,0,0,2
1,1,2,4,2,1,1,0,0,2
0,1,1,0,1,1,0,0,0,2
2,2,1,2,2,1,0,0,2,2
1,2,1,1,1,1,0,0,0,2
4,0,7,1,4,1,2,0,4,2
4,1,8,4,4,1,2,3,4,2
4,0,9,2,0,0,3,0,4,2
0,0,10,1,4,0,8,0,0,2
5,0,6,1,5,0,6,0,8,2
2,1,3,0,2,1,1,0,0,2
2,0,3,2,0,1,1,0,4,2
2,1,3,1,1,1,1,0,0,2
2,1,3,1,2,1,1,0,1,2
2,2,1,0,3,1,1,0,2,2
1,2,1,2,1,1,1,0,0,2
1,2,2,2,3,1,1,0,0,2
1,2,1,2,3,1,1,0,0,2
1,1,1,2,2,1,1,0,0,2
2,1,1,0,1,1,1,0,4,2
1,2,2,2,1,1,1,0,3,2
1,2,2,4,1,1,1,0,0,2
1,2,5,1,1,1,0,0,3,2
2,2,1,1,2,1,0,0,9,2
2,0,1,0,1,0,0,0,0,3
1,1,1,1,1,1,1,0,0,3
1,1,1,1,1,1,1,0,8,3
1,3,2,1,1,1,0,0,0,3
1,1,2,4,2,1,1,0,4,3
0,4,3,3,0,0,2,0,0,3
2,0,1,6,1,0,0,0,0,3
1,1,2,1,1,1,1,0,0,3
1,2,1,1,2,1,0,0,0,3
1,2,2,1,1,1,0,0,0,3
