0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,2
2,2,0,1,2,1,2,1,0,0,2,0,2,0,0,1,1,1,1,0,1
0,3,1,2,3,1,2,1,0,1,0,1,3,0,1,1,0,1,1,0,1
0,4,2,3,4,1,1,2,0,0,0,2,4,0,1,0,0,1,1,0,2
2,5,1,1,5,0,1,1,0,0,0,2,5,0,1,1,1,1,0,0,1
2,4,1,2,6,2,0,2,0,0,0,1,4,0,0,1,0,0,1,0,1
1,5,1,4,7,1,1,1,0,0,1,3,5,0,2,1,2,0,0,0,1
2,2,1,0,6,3,2,1,2,0,0,0,6,0,0,1,1,0,1,0,1
1,6,0,3,8,1,3,0,3,0,1,3,7,0,0,0,2,0,1,0,2
1,2,1,3,0,1,4,2,1,0,3,3,8,0,2,1,0,0,1,0,2
0,1,1,5,9,1,4,2,1,0,0,1,9,0,2,1,0,0,1,0,2
1,2,1,0,10,1,1,3,1,0,3,3,1,0,0,1,0,0,0,0,1
0,4,0,3,0,1,0,0,0,0,0,3,10,0,0,0,1,0,1,0,2
0,7,1,3,0,1,1,1,1,0,0,3,7,0,2,1,0,0,1,0,1
0,4,1,0,0,4,1,0,1,0,1,3,11,0,0,1,1,0,1,0,2
2,4,0,0,2,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,1
0,6,3,5,3,0,4,1,0,0,2,3,8,1,0,2,0,0,1,0,1
1,4,1,4,11,1,0,0,1,0,1,2,12,0,1,1,2,0,0,0,2
2,4,1,0,12,2,0,2,0,0,1,3,13,0,0,1,0,1,0,0,1
2,8,0,3,2,1,1,0,0,0,0,3,2,0,0,2,0,0,0,0,1
0,0,1,0,6,2,1,1,0,0,2,0,12,0,2,1,0,1,1,0,1
0,8,0,3,2,1,4,3,0,0,2,0,2,0,2,0,1,1,1,1,1
1,2,0,4,10,4,4,2,0,0,0,1,12,0,0,1,0,0,1,0,1
2,8,0,2,2,0,1,1,3,0,3,3,8,0,0,0,0,0,1,1,1
0,0,1,2,0,1,1,3,0,0,1,0,14,1,0,1,1,0,0,0,1
2,0,3,0,13,1,0,0,3,0,0,3,15,0,0,1,1,0,1,0,1
3,2,4,0,13,3,1,2,1,0,2,0,16,0,2,0,0,0,1,0,1
1,9,1,0,2,1,1,2,0,1,1,0,5,0,0,1,0,0,1,0,1
0,10,2,5,7,1,0,2,0,0,0,2,17,0,0,0,0,0,0,0,2
1,11,1,5,10,3,4,2,3,0,2,0,14,1,0,1,0,0,0,0,1
0,4,1,2,9,1,1,1,0,0,1,3,7,2,0,1,0,0,1,0,1
1,11,1,3,1,4,1,1,0,0,1,3,13,0,0,0,0,0,0,0,1
2,2,0,5,0,0,0,0,0,0,0,2,18,0,2,1,1,0,1,0,1
3,2,1,2,10,1,4,0,1,0,3,1,11,1,0,1,2,0,0,0,1
1,12,0,0,4,1,4,0,0,0,1,1,8,0,0,0,1,0,1,0,2
2,1,0,1,1,1,1,3,0,0,2,2,13,1,1,1,0,0,0,0,1
3,11,1,0,2,1,1,0,0,2,1,0,14,2,0,1,0,0,1,0,2
3,8,1,6,0,1,1,1,0,0,1,3,14,0,0,1,0,0,0,0,1
1,8,1,0,13,1,1,0,0,0,2,0,9,0,0,1,0,0,1,0,1
2,6,1,0,2,2,0,0,0,0,1,3,13,1,0,1,2,0,1,0,1
1,2,1,0,0,2,1,2,2,0,3,3,8,0,0,1,0,0,0,0,1
1,11,2,7,14,1,1,1,0,0,0,0,12,0,0,1,1,1,0,0,1
0,6,0,4,14,4,2,3,3,0,0,3,9,0,2,0,0,0,1,0,1
0,1,0,4,14,1,0,0,1,0,0,2,18,2,1,0,1,0,1,0,2
2,2,0,3,0,1,4,0,1,0,0,3,5,0,0,0,2,0,1,0,1
2,5,1,0,2,2,0,0,0,0,0,3,15,0,0,1,0,0,1,0,1
0,0,1,4,0,2,3,3,1,0,1,1,9,0,2,1,3,0,0,0,1
2,2,0,3,7,1,1,3,0,0,0,1,15,0,0,0,1,0,1,0,1
2,2,1,0,2,4,1,0,1,2,1,0,7,0,0,1,0,0,1,0,1
1,4,2,2,2,0,4,0,0,0,1,1,19,1,0,1,1,0,1,0,1
1,13,2,4,1,1,0,3,0,0,1,3,13,0,0,0,2,0,0,0,1
2,2,1,0,0,1,1,2,0,0,1,3,8,0,0,1,0,0,1,0,1
2,11,1,4,12,0,1,1,0,0,3,1,13,0,0,1,0,0,0,0,1
1,5,2,3,2,1,0,0,0,0,0,2,18,1,1,0,0,0,0,0,2
2,0,4,3,13,0,1,3,0,1,1,0,8,2,0,1,1,1,1,0,1
1,2,1,0,14,0,3,1,0,0,3,2,4,0,0,1,2,0,0,0,2
2,5,0,0,5,1,1,1,1,0,1,3,13,2,0,0,0,0,1,0,1
3,11,1,3,10,1,0,2,1,0,1,3,9,0,0,1,2,0,1,0,1
0,5,0,2,14,1,4,0,1,2,0,2,9,0,2,0,1,0,0,0,2
1,8,1,5,0,1,1,1,3,0,3,0,7,1,0,1,0,0,0,0,1
1,7,0,0,10,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,1
